Ticker,Total Bought,Total Sold,Average Buy Price,Average Sell Price
AAPL,98936,98936,123.09664884981983,133.6658416190741
AMZN,77251,71525,137.09876776827332,135.52740367858738
MSFT,9452,6792,283.3742363114908,225.33948446752325
