,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,3445,78.49656677246094,729579.3274688721
1,2020-01-31,BUY,AMZN,7799,93.53399658203125,107.68812561035156
2,2020-02-26,SELL,AAPL,3445,69.98783874511719,241215.79260253906
3,2020-02-28,SELL,AMZN,7205,94.21499633789062,920034.841217041
4,2020-02-28,BUY,AAPL,13845,66.45054626464844,27.028182983398438
5,2020-03-13,SELL,AMZN,594,83.83049774169922,49822.343841552734
6,2020-03-17,SELL,AAPL,13845,58.843910217285156,864516.2807998657
7,2020-03-31,BUY,AAPL,4087,61.905033111572266,611510.4104728699
8,2020-03-31,BUY,AMZN,6227,98.19750213623047,34.56467056274414
9,2020-04-30,SELL,AMZN,3326,118.635498046875,394616.231174469
10,2020-04-30,BUY,AAPL,5645,69.90281677246094,14.830493927001953
11,2020-05-29,SELL,AMZN,1521,120.05500030517578,182618.48595809937
12,2020-05-29,BUY,AAPL,2355,77.52681732177734,42.8311653137207
13,2020-06-30,SELL,AMZN,1380,134.0189971923828,184989.047290802
14,2020-06-30,BUY,AAPL,2099,88.13087463378906,2.3414344787597656
15,2020-12-31,SELL,AAPL,1969,130.75875854492188,257466.33700942993
16,2020-12-31,BUY,MSFT,1201,214.2799072265625,116.16843032836914
17,2021-01-29,SELL,AAPL,9575,134.0541229248047,1283684.3954353333
18,2021-01-29,BUY,MSFT,5558,230.9540557861328,41.75337600708008
19,2021-02-26,SELL,MSFT,5755,221.85565185546875,1276821.0298042297
20,2021-02-26,BUY,AAPL,4954,118.48746490478516,689834.1286659241
21,2021-02-26,BUY,AMZN,4512,152.85800170898438,138.82495498657227
22,2021-03-31,SELL,AAPL,7596,117.42001342773438,892061.2469520569
23,2021-03-31,BUY,AMZN,5789,152.76449584960938,7707.580478668213
24,2021-03-31,BUY,MSFT,33,224.62657165527344,294.90361404418945
25,2021-04-30,SELL,MSFT,1036,244.64291381835938,253744.9623298645
26,2021-04-30,BUY,AMZN,1461,173.5655059814453,165.7580909729004
27,2021-05-31,SELL,MSFT,1,242.45960998535156,408.21770095825195
28,2021-05-31,BUY,AMZN,2,161.15350341796875,85.91069412231445
29,2021-07-30,SELL,AMZN,2191,179.99600219726562,394457.1515083313
30,2021-07-30,BUY,AAPL,2760,142.86988830566406,136.25978469848633
31,2021-08-31,SELL,AAPL,2135,150.43264770507812,321309.9626350403
32,2021-08-31,BUY,AMZN,1878,171.07850646972656,24.527484893798828
33,2021-09-30,SELL,AAPL,528,140.32325744628906,74115.20741653442
34,2021-09-30,BUY,AMZN,449,165.05599975585938,5.063526153564453
35,2021-10-29,SELL,AMZN,279,172.32850646972656,48084.716831207275
36,2021-10-29,BUY,AAPL,320,149.89231872558594,119.17483901977539
37,2021-12-31,SELL,AAPL,417,175.3280029296875,73230.95206069946
38,2021-12-31,BUY,AMZN,434,168.64450073242188,39.23874282836914
39,2022-01-21,SELL,AMZN,12055,151.66749572753906,1828390.8997383118
40,2022-01-31,BUY,AAPL,1357,167.5848388671875,1600978.2733955383
41,2022-01-31,BUY,AMZN,11119,143.97799682617188,86.92668533325195
42,2022-02-28,SELL,AMZN,1233,153.7884979248047,189708.14462661743
43,2022-02-28,BUY,AAPL,1168,162.39979553222656,25.18344497680664
44,2022-03-31,SELL,AMZN,1170,166.30099487304688,194597.34744644165
45,2022-03-31,BUY,AAPL,1111,175.12777709960938,30.387088775634766
46,2022-04-27,SELL,AAPL,3636,154.46945190429688,561681.3142127991
47,2022-04-29,SELL,AMZN,488,144.59649658203125,632244.4045448303
48,2022-04-29,BUY,AAPL,3921,161.20779418945312,148.64352798461914
49,2022-04-30,SELL,AMZN,8228,124.28150177001953,1022736.8400917053
50,2022-05-12,SELL,AAPL,3921,144.53457641601562,1589456.9142189026
51,2022-05-31,BUY,AAPL,6896,147.6324462890625,571383.5646095276
52,2022-05-31,BUY,AMZN,4962,115.14649963378906,26.633426666259766
53,2022-06-14,SELL,AAPL,6896,130.11074829101562,897270.35364151
54,2022-06-15,SELL,AMZN,4962,102.30999755859375,1404932.5615272522
55,2022-06-30,BUY,AAPL,8526,137.3621063232422,233783.2430152893
56,2022-06-30,BUY,AMZN,2145,108.91999816894531,149.84694290161133
57,2022-07-29,SELL,AMZN,1232,122.27999877929688,150798.80543899536
58,2022-07-29,BUY,AAPL,971,155.23902893066406,61.70834732055664
59,2022-08-31,SELL,AMZN,23,128.72999572753906,3022.498249053955
60,2022-08-31,BUY,AAPL,19,156.99588012695312,39.5765266418457
61,2022-09-30,SELL,AAPL,9516,140.76376342773438,1339547.5493049622
62,2022-09-30,SELL,AMZN,889,114.80000305175781,1441604.7520179749
63,2022-10-31,BUY,AAPL,9369,153.86407470703125,52.236087799072266
64,2022-11-02,SELL,AMZN,1,96.79000091552734,149.0260887145996
65,2022-11-04,SELL,AAPL,9369,137.20713806152344,1285642.7025871277
66,2022-11-30,BUY,AAPL,9202,139.70091247558594,114.90598678588867
67,2022-12-29,SELL,AAPL,9202,124.72836303710938,1147865.3026542664
68,2022-12-30,BUY,AAPL,8949,128.26121520996094,55.687740325927734
69,2023-04-28,SELL,AAPL,1343,166.9119110107422,224218.3842277527
70,2023-04-28,BUY,AMZN,2041,109.81999969482422,75.76485061645508
71,2023-05-31,SELL,AAPL,1358,175.96588134765625,239037.43172073364
72,2023-05-31,BUY,AMZN,1964,121.66000366210938,97.18452835083008
73,2023-06-30,SELL,AAPL,853,188.1634063720703,160600.5701637268
74,2023-06-30,BUY,AMZN,1255,127.9000015258789,86.0682487487793
75,2023-07-31,SELL,AAPL,2142,194.35646057128906,416397.60679244995
76,2023-07-31,BUY,AMZN,3149,132.2100067138672,68.29565048217773
77,2023-08-31,SELL,AAPL,1684,186.48948669433594,314116.5912437439
78,2023-08-31,BUY,AMZN,2325,135.07000732421875,78.82421493530273
79,2023-09-29,SELL,AMZN,291,125.9800033569336,36739.00519180298
80,2023-09-29,BUY,AAPL,216,169.63436889648438,97.98151016235352
81,2023-10-26,SELL,AMZN,10443,121.38999938964844,1267773.745136261
82,2023-10-31,BUY,AAPL,1038,169.23683166503906,1092105.9138679504
83,2023-10-31,BUY,AMZN,8229,132.7100067138672,35.268619537353516
84,2023-11-30,SELL,AMZN,3160,146.32000732421875,462406.4917640686
85,2023-11-30,BUY,AAPL,2453,188.44679260253906,146.5095100402832
86,2023-12-29,SELL,AMZN,3115,153.3800048828125,477925.2247200012
87,2023-12-29,BUY,AAPL,2480,192.6362762451172,187.2596321105957
88,2024-01-31,SELL,AMZN,1954,159.0,310873.2596321106
89,2024-01-31,BUY,AAPL,1661,187.123291015625,61.4732551574707
90,2024-03-08,SELL,AAPL,9417,168.3907012939453,1585796.7073402405
91,2024-03-29,BUY,AAPL,9053,170.86175537109375,38985.23596572876
92,2024-03-29,BUY,AMZN,215,180.3800048828125,203.53491592407227
93,2024-04-30,SELL,AAPL,1357,172.8744659423828,234794.18519973755
94,2024-04-30,BUY,AMZN,1297,180.9600067138672,89.05649185180664
95,2024-05-31,SELL,AAPL,167,190.85885620117188,31962.48547744751
96,2024-05-31,BUY,AMZN,178,179.32000732421875,43.524173736572266
97,2024-06-28,SELL,AMZN,98,197.85000610351562,19432.824771881104
98,2024-06-28,BUY,AAPL,90,213.61746215820312,207.25317764282227
99,2024-07-31,SELL,AAPL,605,218.30685424804688,132282.89999771118
100,2024-07-31,BUY,AMZN,727,181.7100067138672,179.72511672973633
101,2024-08-06,SELL,AMZN,2319,161.02000427246094,373585.11502456665
102,2024-08-30,SELL,AAPL,1713,229.53746032714844,766782.7845649719
103,2024-08-30,BUY,AMZN,4454,172.1199951171875,160.32631301879883
104,2024-09-30,SELL,AAPL,1093,227.53965759277344,248861.17206192017
105,2024-09-30,BUY,AMZN,1323,187.97000122070312,176.86044692993164
106,2024-10-31,SELL,AAPL,1922,229.8471221923828,441943.0293006897
107,2024-10-31,BUY,AMZN,2293,192.72999572753906,13.149097442626953
108,2024-11-29,SELL,AAPL,753,234.92999267578125,176915.4335823059
109,2024-11-29,BUY,AMZN,859,205.74000549316406,184.76886367797852
110,2024-12-31,SELL,AAPL,1533,252.1999969482422,386807.36418533325
111,2024-12-31,SELL,AMZN,3286,221.3000030517578,1113999.1742134094
112,2024-12-31,BUY,MSFT,2622,424.8299865722656,94.94942092895508
